K=0.58, T=200s -> RMSE_X=0.0245, RMSE_Y=0.0265, RMSE_Z=0.0125
K=0.30, T=50s -> RMSE_X=0.0300, RMSE_Y=0.0249, RMSE_Z=0.0016
K=0.30, T=50s -> RMSE_X=0.0526, RMSE_Y=0.0184, RMSE_Z=0.0028
K=0.30, T=50s -> RMSE_X=0.0155, RMSE_Y=0.0299, RMSE_Z=0.0007
K=0.30, T=50s -> RMSE_X=0.0632, RMSE_Y=0.0516, RMSE_Z=0.0335
K=0.30, T=100s -> RMSE_X=0.0404, RMSE_Y=0.0243, RMSE_Z=0.0021
K=0.30, T=150s -> RMSE_X=0.0343, RMSE_Y=0.0190, RMSE_Z=0.0018
K=0.30, T=200s -> RMSE_X=0.0339, RMSE_Y=0.0233, RMSE_Z=0.0015
K=0.50, T=200s -> RMSE_X=0.0286, RMSE_Y=0.0202, RMSE_Z=0.0012
K=0.50, T=150s -> RMSE_X=0.0354, RMSE_Y=0.0186, RMSE_Z=0.0015
K=0.50, T=150s -> RMSE_X=0.0289, RMSE_Y=0.0300, RMSE_Z=0.0156
K=0.50, T=100s -> RMSE_X=0.0322, RMSE_Y=0.0159, RMSE_Z=0.0019
K=0.50, T=50s -> RMSE_X=0.0391, RMSE_Y=0.0298, RMSE_Z=0.0024
K=0.80, T=50s -> RMSE_X=0.0288, RMSE_Y=0.0186, RMSE_Z=0.0020
K=0.80, T=100s -> RMSE_X=0.0304, RMSE_Y=0.0174, RMSE_Z=0.0015
K=0.80, T=150s -> RMSE_X=0.0256, RMSE_Y=0.0158, RMSE_Z=0.0014
K=0.80, T=200s -> RMSE_X=0.0203, RMSE_Y=0.0157, RMSE_Z=0.0007
K=1.00, T=200s -> RMSE_X=0.0188, RMSE_Y=0.0173, RMSE_Z=0.0007
K=1.00, T=150s -> RMSE_X=0.0250, RMSE_Y=0.0176, RMSE_Z=0.0012
K=1.00, T=100s -> RMSE_X=0.0202, RMSE_Y=0.0181, RMSE_Z=0.0012
K=1.00, T=50s -> RMSE_X=0.0330, RMSE_Y=0.0084, RMSE_Z=0.0020
